program_name,variant_type,op_count_or_size,poly_modulus_degree,coeff_modulus_size_bits,plain_modulus_bit_size,coeff_modulus_prime_bits_csv,depth,mul_depth,ct_ct_muls,relinearizations,rotations,ct_ct_adds,pl_ct_muls,pl_ct_adds,median_execution_time_us
rotate,scalar,100,16384,270,25,"60,50,50,50,60",100,0,0,0,100,0,0,0,1330964
rotate,scalar,250,16384,270,25,"60,50,50,50,60",250,0,0,0,250,0,0,0,3323988
rotate,scalar,500,16384,270,25,"60,50,50,50,60",500,0,0,0,500,0,0,0,6647147
rotate,scalar,750,16384,270,25,"60,50,50,50,60",750,0,0,0,750,0,0,0,9969803
rotate,scalar,1000,16384,270,25,"60,50,50,50,60",1000,0,0,0,1000,0,0,0,13293419
rotate,vector,1,4096,90,18,"30,30,30",1,0,0,0,1,0,0,0,1366
rotate,vector,10,4096,90,18,"30,30,30",1,0,0,0,1,0,0,0,1360
rotate,vector,50,4096,90,18,"30,30,30",1,0,0,0,1,0,0,0,1360
rotate,vector,80,4096,90,18,"30,30,30",1,0,0,0,1,0,0,0,1363
rotate,vector,100,4096,90,18,"30,30,30",1,0,0,0,1,0,0,0,1368
rotate,vector,250,4096,90,18,"30,30,30",1,0,0,0,1,0,0,0,1362
rotate,vector,500,4096,90,18,"30,30,30",1,0,0,0,1,0,0,0,1362
rotate,vector,750,4096,90,18,"30,30,30",1,0,0,0,1,0,0,0,1362
rotate,vector,1000,4096,90,18,"30,30,30",1,0,0,0,1,0,0,0,1361
rotate,vector,1,4096,90,20,"30,30,30",1,0,0,0,1,0,0,0,1361
rotate,vector,10,4096,90,20,"30,30,30",1,0,0,0,1,0,0,0,1399
rotate,vector,50,4096,90,20,"30,30,30",1,0,0,0,1,0,0,0,1362
rotate,vector,80,4096,90,20,"30,30,30",1,0,0,0,1,0,0,0,1361
rotate,vector,100,4096,90,20,"30,30,30",1,0,0,0,1,0,0,0,1363
rotate,vector,250,4096,90,20,"30,30,30",1,0,0,0,1,0,0,0,1367
rotate,vector,500,4096,90,20,"30,30,30",1,0,0,0,1,0,0,0,1366
rotate,vector,750,4096,90,20,"30,30,30",1,0,0,0,1,0,0,0,1368
rotate,vector,1000,4096,90,20,"30,30,30",1,0,0,0,1,0,0,0,1369
rotate,vector,1,4096,90,25,"30,30,30",1,0,0,0,1,0,0,0,1361
rotate,vector,10,4096,90,25,"30,30,30",1,0,0,0,1,0,0,0,1360
rotate,vector,50,4096,90,25,"30,30,30",1,0,0,0,1,0,0,0,1353
rotate,vector,80,4096,90,25,"30,30,30",1,0,0,0,1,0,0,0,1359
rotate,vector,100,4096,90,25,"30,30,30",1,0,0,0,1,0,0,0,1360
rotate,vector,250,4096,90,25,"30,30,30",1,0,0,0,1,0,0,0,1371
rotate,vector,500,4096,90,25,"30,30,30",1,0,0,0,1,0,0,0,1362
rotate,vector,750,4096,90,25,"30,30,30",1,0,0,0,1,0,0,0,1363
rotate,vector,1000,4096,90,25,"30,30,30",1,0,0,0,1,0,0,0,1363
rotate,vector,1,8192,130,18,"40,30,30,30",1,0,0,0,1,0,0,0,4552
rotate,vector,10,8192,130,18,"40,30,30,30",1,0,0,0,1,0,0,0,4556
rotate,vector,50,8192,130,18,"40,30,30,30",1,0,0,0,1,0,0,0,4562
rotate,vector,80,8192,130,18,"40,30,30,30",1,0,0,0,1,0,0,0,4558
rotate,vector,100,8192,130,18,"40,30,30,30",1,0,0,0,1,0,0,0,4558
rotate,vector,250,8192,130,18,"40,30,30,30",1,0,0,0,1,0,0,0,4550
rotate,vector,500,8192,130,18,"40,30,30,30",1,0,0,0,1,0,0,0,4551
rotate,vector,750,8192,130,18,"40,30,30,30",1,0,0,0,1,0,0,0,4555
rotate,vector,1000,8192,130,18,"40,30,30,30",1,0,0,0,1,0,0,0,4562
rotate,vector,1,8192,130,20,"40,30,30,30",1,0,0,0,1,0,0,0,4558
rotate,vector,10,8192,130,20,"40,30,30,30",1,0,0,0,1,0,0,0,4556
rotate,vector,50,8192,130,20,"40,30,30,30",1,0,0,0,1,0,0,0,4562
