run_id,target_line,run_number,depth_max,xdepth_max,mul_total,relin_total,mod_switch_total,he_add_total,rotate_total,rotation_keys,relin_keys,execution_time_ms,noise,llm_benchmark_compile_time_ms
331,111,1,7,2,5,5,5,5,5,2,1,287.393,42,154.319
332,111,2,7,2,5,5,5,5,5,2,1,287.74,42,155.816
333,111,3,7,2,5,5,5,5,5,2,1,287.496,42,157.26
334,112,1,5,3,4,4,4,4,4,1,1,287.518,42,145.26
335,112,2,5,3,4,4,4,4,4,1,1,287.228,42,145.932
336,112,3,5,3,4,4,4,4,4,1,1,287.016,42,145.23
337,113,1,5,2,4,4,4,4,4,1,1,287.854,42,146.232
338,113,2,5,2,4,4,4,4,4,1,1,287.617,42,162.976
339,113,3,5,2,4,4,4,4,4,1,1,287.724,42,146.328
340,114,1,5,1,3,3,3,3,3,1,1,287.372,42,145.252
341,114,2,5,1,3,3,3,3,3,1,1,287.513,42,145.595
342,114,3,5,1,3,3,3,3,3,1,1,286.853,42,146.311
343,115,1,2,1,1,1,1,1,1,0,1,287.073,42,149.896
344,115,2,2,1,1,1,1,1,1,0,1,287.633,42,148.446
345,115,3,2,1,1,1,1,1,1,0,1,287.092,41,148.618
346,116,1,3,2,2,2,2,2,2,0,1,287.427,42,205.044
347,116,2,3,2,2,2,2,2,2,0,1,287.288,42,204.672
348,116,3,3,2,2,2,2,2,2,0,1,287.392,42,204.659
349,117,1,7,2,11,11,11,11,11,0,1,287.088,41,258.755
350,117,2,7,2,11,11,11,11,11,0,1,287.009,42,257.323
351,117,3,7,2,11,11,11,11,11,0,1,287.111,41,257.845
352,118,1,5,2,3,3,3,3,3,1,1,287.384,42,140.908
353,118,2,5,2,3,3,3,3,3,1,1,286.985,41,155.064
354,118,3,5,2,3,3,3,3,3,1,1,287.404,42,141.035
355,119,1,4,1,5,5,5,5,5,0,1,287.286,41,157.089
356,119,2,4,1,5,5,5,5,5,0,1,287.428,41,157.401
357,119,3,4,1,5,5,5,5,5,0,1,287.468,41,157.475
358,120,1,4,1,3,3,3,3,3,1,1,287.171,42,191.614
359,120,2,4,1,3,3,3,3,3,1,1,286.843,42,230.854
360,120,3,4,1,3,3,3,3,3,1,1,286.886,42,194.028
361,121,1,3,1,4,4,4,4,4,0,1,287.008,42,145.728
362,121,2,3,1,4,4,4,4,4,0,1,287.242,42,146.017
363,121,3,3,1,4,4,4,4,4,0,1,287.455,41,146.057
364,122,1,5,2,4,4,4,4,4,1,1,287.251,42,143.573
365,122,2,5,2,4,4,4,4,4,1,1,287.39,42,145.893
366,122,3,5,2,4,4,4,4,4,1,1,287.031,42,143.359
367,123,1,3,2,3,3,3,3,3,0,1,287.726,42,153.141
368,123,2,3,2,3,3,3,3,3,0,1,287.671,41,168.063
369,123,3,3,2,3,3,3,3,3,0,1,287.459,42,153.416
370,124,1,6,1,5,5,5,5,5,1,1,288.188,41,149.803
371,124,2,6,1,5,5,5,5,5,1,1,287.729,42,147.981
372,124,3,6,1,5,5,5,5,5,1,1,287.17,42,149.287
373,125,1,5,1,5,5,5,5,5,1,1,287.634,42,157.333
374,125,2,5,1,5,5,5,5,5,1,1,287.249,42,156.558
375,125,3,5,1,5,5,5,5,5,1,1,287.564,42,155.263
376,126,1,7,2,5,5,5,5,5,1,1,287.642,42,159.618
377,126,2,7,2,5,5,5,5,5,1,1,287.162,42,156.984
378,126,3,7,2,5,5,5,5,5,1,1,287.614,42,159.37
379,127,1,6,2,7,7,7,7,7,1,1,287.33,42,1905.04
380,127,2,6,2,7,7,7,7,7,1,1,286.892,42,1894.87
381,127,3,6,2,7,7,7,7,7,1,1,287.789,42,1882.28
382,128,1,3,2,4,4,4,4,4,0,1,287.495,42,155.098
383,128,2,3,2,4,4,4,4,4,0,1,287.384,42,140.111
384,128,3,3,2,4,4,4,4,4,0,1,286.97,42,140.083
385,129,1,4,1,2,2,2,2,2,1,1,287.525,41,184.406
386,129,2,4,1,2,2,2,2,2,1,1,287.943,42,182.528
387,129,3,4,1,2,2,2,2,2,1,1,287.433,41,181.807
388,130,1,5,2,4,4,4,4,4,1,1,287.865,42,144.378
389,130,2,5,2,4,4,4,4,4,1,1,287.502,41,142.21
390,130,3,5,2,4,4,4,4,4,1,1,290.852,42,143.708
391,131,1,5,2,4,4,4,4,4,1,1,287.43,42,145.101
392,131,2,5,2,4,4,4,4,4,1,1,287.49,42,145.47
393,131,3,5,2,4,4,4,4,4,1,1,287.396,42,146.161
394,132,1,7,4,5,5,5,5,5,2,1,287.077,41,178.574
395,132,2,7,4,5,5,5,5,5,2,1,287.216,42,177.237
396,132,3,7,4,5,5,5,5,5,2,1,287.429,42,176.314
397,133,1,9,3,5,5,5,5,5,1,1,287.357,42,13727.7
398,133,2,9,3,5,5,5,5,5,1,1,287.32,42,13583.0
